fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,12,2,the,80.330,80.400,DT,0.7806,3.9764,0,7.73,2
audio01.TextGrid,12,3,boy,80.400,80.630,NN,13.6845,1.4979,0,5.17,2
audio01.TextGrid,12,4,said,80.630,80.900,VBD,2.3092,4.1007,0,6.01,3
audio01.TextGrid,12,5,to,80.900,81.000,TO,-0.0000,5.2637,0,7.43,2
audio01.TextGrid,12,6,him,81.000,81.130,PRP,6.7448,6.2461,0,6.11,2
audio01.TextGrid,12,7,as,81.130,81.260,IN,4.7671,4.3279,0,6.77,2
audio01.TextGrid,12,8,they,81.260,81.350,PRP,2.7059,5.8743,0,6.5,2
audio01.TextGrid,12,9,climbed,81.350,81.700,VBD,9.5713,2.2358,0,3.85,5
audio01.TextGrid,12,10,the,81.700,81.770,DT,0.7806,3.1613,0,7.73,2
audio01.TextGrid,12,11,bank,81.770,82.110,NN,8.4366,1.2536,0,5.16,4
audio01.TextGrid,12,12,from,82.110,82.240,IN,4.6559,1.9542,0,6.63,3
audio01.TextGrid,12,13,where,82.240,82.360,WRB,2.3058,9.0752,0,6.0,3
audio01.TextGrid,12,14,the,82.360,82.460,DT,0.7806,2.8012,0,7.73,2
audio01.TextGrid,12,15,skiff,82.460,82.770,NN,4.8869,1.6166,1,2.63,4
audio01.TextGrid,12,16,was,82.770,82.910,VBD,3.0516,4.1007,0,6.82,3
audio01.TextGrid,12,17,hauled,82.910,83.140,VBD,11.5713,8.0066,0,3.43,4
audio01.TextGrid,12,18,up,83.140,83.360,RP,1.4881,6.1396,0,6.39,2
audio01.TextGrid,13,1,i,84.080,84.170,PRP,3.9247,5.9294,0,7.09,1
audio01.TextGrid,13,2,could,84.170,84.340,MD,2.9376,3.6054,0,6.06,3
audio01.TextGrid,13,3,go,84.340,84.480,VB,7.1486,0.6826,0,6.03,2
audio01.TextGrid,13,4,with,84.480,84.640,IN,4.6303,3.3208,0,6.85,3
audio01.TextGrid,13,5,you,84.640,84.780,PRP,4.1902,4.5598,0,6.98,2
