fichier,phrase_id,position,mot,onset,offset,relation,tete
audio01.TextGrid,23,4,MADE,108.250,108.560,,LEAVE
audio01.TextGrid,23,5,ME,108.560,108.650,,LEAVE
audio01.TextGrid,23,6,LEAVE,108.650,109.060,,I
audio01.TextGrid,23,7,I,109.300,109.410,,AM
audio01.TextGrid,23,8,AM,109.410,109.510,,ROOT
audio01.TextGrid,23,9,A,109.510,109.560,,ROOT
audio01.TextGrid,23,10,BOY,109.560,109.840,,ROOT
audio01.TextGrid,23,11,AND,109.840,110.030,,ROOT
audio01.TextGrid,23,12,I,110.030,110.120,,ROOT
audio01.TextGrid,23,13,MUST,110.120,110.360,,HIM
audio01.TextGrid,23,14,OBEY,110.360,110.660,,HIM
audio01.TextGrid,23,15,HIM,110.660,110.850,,ROOT
audio01.TextGrid,24,1,I,111.730,111.850,,KNOW
audio01.TextGrid,24,2,KNOW,111.850,112.130,,ROOT
audio01.TextGrid,24,3,THE,112.430,112.550,,ROOT
audio01.TextGrid,24,4,OLD,112.550,112.720,,SAID
audio01.TextGrid,24,5,MAN,112.720,112.950,,SAID
audio01.TextGrid,24,6,SAID,112.950,113.310,,ROOT
audio01.TextGrid,25,1,IT,113.760,113.890,,NORMAL
audio01.TextGrid,25,2,IS,113.890,114.040,,NORMAL
audio01.TextGrid,25,3,QUITE,114.040,114.370,,NORMAL
audio01.TextGrid,25,4,NORMAL,114.370,114.780,,ROOT
audio01.TextGrid,26,1,HE,115.950,116.100,,FAITH
audio01.TextGrid,26,2,HASN'T,116.100,116.360,,FAITH
audio01.TextGrid,26,3,MUCH,116.360,116.600,,FAITH
audio01.TextGrid,26,4,FAITH,116.600,116.980,,ROOT
audio01.TextGrid,27,1,NO,117.670,118.080,,ROOT
audio01.TextGrid,27,2,THE,118.360,118.470,,SAID
audio01.TextGrid,27,3,OLD,118.470,118.670,,SAID
audio01.TextGrid,27,4,MAN,118.670,118.910,,SAID
audio01.TextGrid,27,5,SAID,118.910,119.240,,ROOT
audio01.TextGrid,28,1,BUT,119.970,120.130,,ROOT
audio01.TextGrid,28,2,WE,120.130,120.350,,WE
audio01.TextGrid,28,3,HAVE,120.350,120.650,,WE
audio01.TextGrid,28,4,HAVEN,120.910,121.180,,WE
audio01.TextGrid,28,5,T,121.180,121.220,,WE
audio01.TextGrid,28,6,WE,121.220,121.440,,BUT
audio01.TextGrid,29,1,YES,122.440,122.880,,ROOT
audio01.TextGrid,29,2,THE,123.010,123.090,,SAID
audio01.TextGrid,29,3,BOY,123.090,123.300,,SAID
audio01.TextGrid,29,4,SAID,123.300,123.660,,ROOT
audio01.TextGrid,30,1,CAN,124.250,124.450,,OFFER
audio01.TextGrid,30,2,I,124.450,124.560,,OFFER
audio01.TextGrid,30,3,OFFER,124.560,124.830,,ROOT
audio01.TextGrid,30,4,YOU,124.830,124.990,,A
audio01.TextGrid,30,5,A,124.990,125.030,,OFFER
audio01.TextGrid,30,6,BEER,125.030,125.300,,HOME
audio01.TextGrid,30,7,ON,125.300,125.400,,HOME
audio01.TextGrid,30,8,THE,125.400,125.480,,HOME
audio01.TextGrid,30,9,TERRACE,125.480,125.940,,HOME
audio01.TextGrid,30,10,AND,125.940,126.060,,HOME
audio01.TextGrid,30,11,THEN,126.060,126.220,,HOME
audio01.TextGrid,30,12,WE,126.220,126.290,,HOME
audio01.TextGrid,30,13,LL,126.290,126.320,,HOME
audio01.TextGrid,30,14,TAKE,126.320,126.550,,HOME
audio01.TextGrid,30,15,THE,126.550,126.610,,HOME
audio01.TextGrid,30,16,STUFF,126.610,126.890,,HOME
audio01.TextGrid,30,17,HOME,126.890,127.230,,ROOT
audio01.TextGrid,31,1,WHY,128.170,128.360,,ROOT
audio01.TextGrid,31,2,NOT,128.360,128.740,,SAID
audio01.TextGrid,31,3,THE,129.010,129.120,,SAID
audio01.TextGrid,31,4,OLD,129.120,129.300,,SAID
audio01.TextGrid,31,5,MAN,129.300,129.520,,SAID
audio01.TextGrid,31,6,SAID,129.520,129.890,,ROOT
audio01.TextGrid,32,1,BETWEEN,130.510,130.890,,FISHERMEN
audio01.TextGrid,32,2,FISHERMEN,130.890,131.500,,ROOT
audio01.TextGrid,33,1,THEY,133.810,133.940,,MANY
audio01.TextGrid,33,2,SAT,133.940,134.150,,MANY
audio01.TextGrid,33,3,ON,134.150,134.270,,MANY
audio01.TextGrid,33,4,THE,134.270,134.360,,MANY
audio01.TextGrid,33,5,TERRACE,134.360,134.820,,MANY
audio01.TextGrid,33,6,AND,134.820,135.040,,MANY
audio01.TextGrid,33,7,MANY,135.040,135.290,,ROOT
audio01.TextGrid,33,8,OF,135.290,135.350,,MANY
audio01.TextGrid,33,9,THE,135.350,135.460,,FUN
audio01.TextGrid,33,10,FISHERMEN,135.460,135.860,,FUN
audio01.TextGrid,33,11,MADE,135.860,136.130,,FUN
audio01.TextGrid,33,12,FUN,136.130,136.300,,OF
audio01.TextGrid,33,13,OF,136.300,136.390,,MANY
audio01.TextGrid,33,14,THE,136.390,136.530,,ROOT
audio01.TextGrid,33,15,OLD,136.530,136.750,,MAN
audio01.TextGrid,33,16,MAN,136.750,137.160,,ROOT
